term,definition
代理型,agent 的形容词形式。智能体是指智能体所具备的特质（例如自主性）。
智能体工作流,一种动态过程，其中 智能体 自主规划和执行行动以实现目标。该过程可能涉及推理、调用外部工具和自行纠正方案。
凝聚式聚类,请参阅 层次聚类 。
AI 垃圾内容,生成式 AI 系统生成的输出，侧重于数量而非质量。例如，包含 AI 垃圾内容的网页充斥着低质量的 AI 生成内容，这些内容制作成本低廉。
异常值检测,识别 离群值 的过程。例如，如果某个 特征 的平均值为 100，标准差为 10，那么异常检测功能应将 200 的值标记为可疑。
AR,增强现实 的缩写。
PR 曲线下的面积,请参阅 PR AUC（PR 曲线下面积） 。
ROC 曲线下面积,请参阅 AUC（ROC 曲线下面积） 。
人工通用智能,一种非人类机制，可展现 广泛 的问题解决能力、创造力和适应性。例如，展示通用人工智能的程序可以翻译文本、创作交响乐， 并 在尚未发明的游戏中表现出色。
人工智能,"能够解决复杂任务的非人类程序或 模型 。
例如，翻译文本的程序或模型，以及根据放射影像识别疾病的程序或模型都展现出了人工智能。

从形式上讲， 机器学习 是人工智能的一个子领域。不过，近年来，一些组织开始交替使用 人工智能 和 机器学习 这两个术语。"
Attention,"一种用于 神经网络 的机制，用于指示特定字词或字词的一部分的重要性。注意力机制可压缩模型预测下一个令牌/字词所需的信息量。典型的注意力机制可能包含一组输入的 加权和 ，其中每个输入的 权重 由神经网络的另一部分计算得出。

另请参阅 自注意力机制 和 多头自注意力机制 ，它们是 Transformer 的构建块。

如需详细了解自注意力机制，请参阅机器学习速成课程中的 LLM：什么是大语言模型？ 。"
属性,"与 特征 的含义相同。

在机器学习公平性方面，属性通常是指与个人相关的特征。"
属性抽样,一种用于训练 决策森林 的策略，其中每个 决策树 在学习 条件 时仅考虑随机选择的可能 特征 子集。一般来说，每个 节点 都会对不同的特征子集进行抽样。相比之下，在训练不进行属性抽样的决策树时，系统会考虑每个节点的所有可能特征。
AUC（ROC 曲线下面积）,"一个介于 0.0 和 1.0 之间的数字，表示 二元分类 模型区分 正类别 和 负类别 的能力。
AUC 越接近 1.0，模型区分不同类别的能力就越好。

例如，下图显示了一个 分类模型 ，该模型可完美区分正类别（绿色椭圆）和负类别（紫色矩形）。这个不切实际的完美模型的 AUC 值为 1.0：

相反，下图显示了生成随机结果的 分类模型 的结果。此模型的 AUC 为 0.5：

是的，上述模型的 AUC 为 0.5，而不是 0.0。

大多数模型介于这两个极端之间。例如，以下模型在一定程度上区分了正例和负例，因此其 AUC 介于 0.5 和 1.0 之间：

AUC 会忽略您为 分类阈值 设置的任何值。相反，AUC 会考虑 所有 可能的分类阈值。

如需了解详情，请参阅机器学习速成课程中的 分类：ROC 和 AUC 。"
增强现实,一种将计算机生成的图像叠加到用户看到的真实世界上的技术，从而提供合成视图。
自动编码器,"一种可学习从输入中提取最重要信息的系统。自动编码器是 编码器 和 解码器 的组合。自动编码器依赖于以下两步流程：

编码器将输入映射到（通常）有损的低维（中间）格式。 解码器通过将低维格式映射到原始高维输入格式来构建原始输入的有损版本。

通过让解码器尝试尽可能准确地从编码器的中间格式重建原始输入，对自动编码器进行端到端训练。由于中间格式比原始格式小（维度更低），因此自动编码器必须学习输入中哪些信息是必不可少的，并且输出不会与输入完全相同。

例如：

如果输入数据是图形，则非精确复制的图形与原始图形类似，但会进行一些修改。可能非精确副本会去除原始图形中的噪声或填充一些缺失的像素。 如果输入数据是文本，自动编码器会生成模仿（但不完全相同）原始文本的新文本。

另请参阅 变分自编码器 。"
自动评估,"使用软件来判断模型输出的质量。

如果模型输出相对简单，脚本或程序可以将模型输出与 标准回答 进行比较。这种类型的自动评估有时称为 程序化评估 。 ROUGE 或 BLEU 等指标通常有助于进行程序化评估。

如果模型输出复杂或 没有唯一正确的答案 ，有时会由一个名为 自动评分器 的单独机器学习程序执行自动评估。

与 人工评估 相对。"
自动化偏差,"是指针对自动化决策系统所给出的建议的偏差，在此偏差范围内，即使系统出现错误，决策者也会优先考虑自动化决策系统给出的建议，而不是非自动化系统给出的建议。

如需了解详情，请参阅机器学习速成课程中的 公平性：偏差类型 。"
AutoML,"用于构建 机器学习 模型 的任何自动化流程。AutoML 可以自动执行以下任务：

搜索最合适的模型。 调整 超参数 。 准备数据（包括执行 特征工程 ）。 部署生成的模型。

AutoML 对数据科学家很有用，因为它可以节省他们开发机器学习流水线的时间和精力，并提高预测准确性。对于非专业人士，它也很有用，因为它可以让他们更轻松地完成复杂的机器学习任务。

如需了解详情，请参阅机器学习速成课程中的 自动化机器学习 (AutoML) 。"
自动评估器评估,虽然有预建的自动评分器，但最好是专门针对您要评估的任务进行微调的自动评分器。
自回归模型,"一种 模型 ，可根据其自身的先前预测推断预测结果。例如，自回归语言模型会根据之前预测的 token 来预测下一个 token。所有基于 Transformer 的 大语言模型 都是自回归模型。

相比之下，基于 GAN 的图像模型通常不是自回归模型，因为它们通过一次前向传递生成图像，而不是以迭代方式逐步生成图像。不过，某些图片生成模型 是 自回归模型，因为它们会分步生成图片。"
辅助损失,"一种与 神经网络 模型 的主要损失函数结合使用的 损失函数 ，有助于在权重随机初始化的早期迭代期间加速 训练 。

辅助损失函数会将有效 梯度 推送到较早的 层 。这有助于在 训练 期间通过解决 梯度消失问题 来促进 收敛 。"
前 k 名的平均精确率,"一种用于总结模型在生成排名结果（例如图书推荐的编号列表）的单个提示上的表现的指标。 k 处的平均精确率是指每个 相关 结果的 k 处精确率 值的平均值。
因此，前 k 个结果的平均精确率的公式为：

\[{\text{average precision at k}} = \frac{1}{n}
                \sum_{i=1}^n {\text{precision at k for each relevant item} } \]

其中：

\(n\) 是列表中的相关商品数量。

与 k 处的召回率 相对。"
轴对齐条件,"在 决策树 中，仅涉及单个 特征 的 条件 。例如，如果 area 是一个特征，则以下是轴对齐条件：

与 斜条件 相对。"
反向传播,"在 神经网络 中实现 梯度下降 的算法。

训练神经网络需要多次 迭代 以下双向传递周期：

在 前向传递 期间，系统会处理一批 示例 ，以生成预测结果。 系统会将每个预测结果与每个 标签 值进行比较。 预测值与标签值之间的差值就是相应示例的 损失 。系统会汇总所有示例的损失，以计算当前批次的总损失。 在 反向传递 （反向传播）期间，系统会通过调整所有 隐藏层 中所有 神经元 的权重来减少损失。

神经网络通常包含多个隐藏层中的许多神经元。每个神经元以不同的方式影响总体损失。
反向传播可确定是增加还是减少应用于特定神经元的权重。

学习速率 是一种乘数，用于控制每次向后传递时每个权重增加或减少的程度。与较小的学习速率相比，较大的学习速率会使每个权重增加或减少更多。

从微积分的角度来看，反向传播实现了微积分中的 链式法则 。也就是说，反向传播会计算误差相对于每个形参的 偏导数 。

多年前，机器学习从业者必须编写代码才能实现反向传播。Keras 等现代机器学习 API 现在会为您实现反向传播。好，

如需了解详情，请参阅机器学习速成课程中的 神经网络 。"
装袋,"一种用于 训练 集成 的方法，其中每个组成 模型 都基于 有放回抽样 的随机训练示例子集进行训练。例如， 随机森林 是使用 Bagging 训练的 决策树 的集合。

术语“bagging”是“bootstrap aggregating”（自助聚合）的简称。

如需了解详情，请参阅“决策森林”课程中的 随机森林 。"
词袋,"词组或段落中的字词的表示法，不考虑字词顺序。例如，以下三个词组的词袋完全一样：

the dog jumps jumps the dog dog jumps the

每个字词都映射到 稀疏向量 中的一个索引，其中词汇表中的每个字词都在该向量中有一个索引。例如，词组“the dog jumps”会映射到一个特征向量，该特征向量在字词“the”“dog”和“jumps”对应的三个索引处包含非零值。 非零值可以是以下任一值：

1，表示某个字词存在。 某个字词出现在词袋中的次数。例如，如果词组为“the maroon dog is a dog with maroon fur”，那么“maroon”和“dog”都会表示为 2，其他字词则表示为 1。 其他一些值，例如，某个字词出现在词袋中的次数的对数。"
baseline,"一种用作参考点的 模型 ，用于比较另一模型（通常是更复杂的模型）的效果。例如， 逻辑回归模型 可以作为 深度模型 的良好基准。

对于特定问题，基准有助于模型开发者量化新模型必须达到的最低预期性能，以便新模型发挥作用。"
基本模型,"一种 预训练模型 ，可作为 微调 的起点，以解决特定任务或应用问题。

另请参阅 预训练模型 和 基础模型 。"
批处理,"一次训练 迭代 中使用的 示例 集。 批次大小 决定了一个批次中的样本数量。

如需了解批次与周期之间的关系，请参阅 周期 。

如需了解详情，请参阅机器学习速成课程中的 线性回归：超参数 。"
批量推理,"对分为较小子集（“批次”）的多个 无标签样本 进行 推理 预测的过程。

批量推理可以利用 加速器芯片 的并行化功能。也就是说，多个加速器可以同时对不同批次未标记的示例进行推理预测，从而大幅提高每秒的推理次数。

如需了解详情，请参阅机器学习速成课程中的 生产环境中的机器学习系统：静态推理与动态推理 。"
批次归一化,"对 隐藏层 中 激活函数 的输入或输出进行 归一化 。批次归一化具有下列优势：

避免 离群值 权重过高，使 神经网络 更加稳定。 实现更高的 学习速率 ，从而加快训练速度。 减少 过拟合 。"
批次大小,"一个 批次 中的 样本 数量。
例如，如果批次大小为 100，则模型在每次 迭代 时处理 100 个样本。

以下是常用的批次大小策略：

随机梯度下降法 (SGD) ，其中批次大小为 1。 完整批次，其中批次大小是整个 训练集 中的样本数量。例如，如果训练集包含 100 万个样本，则批次大小为 100 万个样本。完整批次通常是一种低效的策略。 小批次 ，其中批次大小通常介于 10 到 1000 之间。小批次通常是最有效的策略。

请参阅以下内容了解详细信息：

生产环境机器学习系统：静态与动态推理 ，机器学习速成课程。 《深度学习调优指南》 。"
贝叶斯神经网络,"一种概率 神经网络 ，用于解释 权重 和输出的不确定性。标准神经网络回归模型通常会 预测 标量值；例如，某个标准模型预测房价为 853,000。相比之下，贝叶斯神经网络会预测值的分布情况；例如，某个贝叶斯模型预测房价为 853000，其中标准偏差为 67200。

贝叶斯神经网络根据 贝叶斯定理 计算权重和预测的不确定性。如果需要量化不确定性，例如，在与医药相关的模型中，则贝叶斯神经网络非常有用。贝叶斯神经网络还有助于防止 过拟合 。"
贝叶斯优化,一种 概率回归模型 技术，通过使用贝叶斯学习技术优化可量化不确定性的替代函数，来优化计算成本高昂的 目标函数 。由于贝叶斯优化本身非常耗费资源，因此通常用于优化参数数量较少的评估成本较高的任务，例如选择 超参数 。
贝尔曼方程,"在强化学习中，最优 Q 函数 满足以下恒等式：

\[Q(s, a) = r(s, a) + \gamma \mathbb{E}_{s'|s,a} \max_{a'} Q(s', a')\]

强化学习 算法应用此恒等式，使用以下更新规则创建 Q-learning ：

\[Q(s,a) \gets Q(s,a) + \alpha
  \left[r(s,a)
      + \gamma \displaystyle\max_{\substack{a_1}} Q(s',a')
    - Q(s,a) \right]
\]

除了强化学习，贝尔曼方程还可应用于动态规划。请参阅 维基百科中有关贝尔曼方程的条目 。"
BERT（基于 Transformer 的双向编码器表示法）,"一种用于文本 表示 的模型架构。经过训练的 BERT 模型可以作为大型模型的一部分，用于文本分类或其他机器学习任务。

BERT 具有以下特征：

使用 Transformer 架构，因此依赖于 自注意力 。 使用 Transformer 的 编码器 部分。编码器的任务是生成良好的文本表示，而不是执行分类等特定任务。 是否为 双向 。 使用 遮盖 进行 无监督训练 。

BERT 的变体包括：

ALBERT ，是 A L ight BERT 的缩写。 LaBSE 。

如需简要了解 BERT，请参阅 开源 BERT：最先进的自然语言处理预训练 。"
偏差（道德/公平性）,"1. 对某些事物、人或群体有刻板印象、偏见或偏袒。这些偏差会影响数据的收集和解读、系统设计以及用户与系统的互动方式。此类偏差的形式包括：

自动化偏差 确认性偏见 实验者偏差 群体归因偏差 隐性偏差 群内偏差 群外同质性偏差

2. 采样或报告过程中引入的系统性误差。
此类偏差的形式包括：

覆盖偏差 无回答偏差 参与偏差 报告偏差 抽样偏差 选择性偏差

请勿与机器学习模型中的 偏差项 或 预测偏差 混淆。

如需了解详情，请参阅机器学习速成课程中的 公平性：偏差类型 。"
偏差（数学概念）或偏差项,"距离原点的截距或偏移。偏差是机器学习模型中的一个形参，可用以下任一符号表示：

b w 0

例如，在下面的公式中，偏差为 b：

在简单的二维线性模型中，偏差仅表示“y 轴截距”。
例如，下图中的直线的偏差为 2。

之所以存在偏差，是因为并非所有模型都从原点 (0,0) 开始。例如，假设某游乐园的门票为 2 欧元，客户每停留 1 小时需额外支付 0.5 欧元。因此，映射总费用的模型具有 2 的偏差，因为最低费用为 2 欧元。

请勿将偏差与 道德和公平性偏差 或 预测偏差 混淆。

如需了解详情，请参阅机器学习速成课程中的 线性回归 。"
双向,"一种用于描述评估目标文本部分 之前 和 之后 文本的系统的术语。相比之下， 单向 系统仅评估目标文本部分 之前 的文本。

例如，假设有一个 遮盖式语言模型 ，它必须确定以下问题中带下划线的字词的概率：

单向语言模型必须仅根据“What”“is”和“the”这几个字词提供的上下文来确定概率。相比之下，双向语言模型还可以从“with”和“you”中获取上下文，这可能有助于模型生成更好的预测结果。"
双向语言模型,一种 语言模型 ，用于根据 前文 和 后文 确定给定 token 出现在文本摘录中给定位置的概率。
二元语法,一种 N 元语法 ，其中 N=2。
二元分类,"一种 分类 任务，用于预测两个互斥的类别之一：

正类别 负类别

例如，以下两个机器学习模型都执行二元分类：

一种用于确定电子邮件是 垃圾邮件 （正类别）还是 非垃圾邮件 （负类别）的模型。 一种评估医疗症状以确定某人是否患有特定疾病（正类别）的模型。

与 多类别分类 相对。

另请参阅 逻辑回归 和 分类阈值 。

如需了解详情，请参阅机器学习速成课程中的 分类 。"
二元条件,"在 决策树 中，一种只有两种可能结果（通常为 是 或 否 ）的 条件 。例如，以下是一个二元条件：

与 非二元条件 相对。

如需了解详情，请参阅决策森林课程中的 条件类型 。"
分箱,与 分桶 的含义相同。
黑盒模型,"一种 模型 ，其“推理”过程难以或无法为人类所理解。也就是说，虽然人类可以看到 提示 如何影响 回答 ，但人类无法确切地确定黑盒模型如何确定回答。换句话说，黑盒模型缺乏 可解释性 。

大多数 深度模型 和 大语言模型 都是黑盒。"
BLEU（双语替换评测）,"一种介于 0.0 和 1.0 之间的指标，用于评估 机器翻译 的质量，例如从西班牙语到日语的翻译。

为了计算得分，BLEU 通常会将机器学习模型的翻译（ 生成的文本 ）与人类专家的翻译（ 参考文本 ）进行比较。生成文本和参考文本中 N 元语法 的匹配程度决定了 BLEU 得分。

有关此指标的原始论文是《 BLEU：一种用于自动评估机器翻译的方法 》。

另请参阅 BLEURT 。"
BLEURT（基于 Transformer 的双语替换评测）,"一种用于评估从一种语言到另一种语言（尤其是英语）的 机器翻译 的指标。

对于英语与另一种语言之间的翻译，BLEURT 与人工评分的契合度比 BLEU 更高。与 BLEU 不同，BLEURT 侧重于语义（含义）相似性，并且可以适应释义。

BLEURT 依赖于一个 预训练 的大语言模型（确切来说是 BERT ），然后使用人工翻译的文本对该模型进行 微调 。

有关此指标的原始论文是 BLEURT: Learning Robust Metrics for Text Generation 。"
增强学习,"一种机器学习技术，以迭代方式将一组简单但不太准确的 分类模型 （也称为“弱分类器”）合成一个准确率高的分类模型（即“强分类器”），具体方法是对模型目前错误分类的样本进行 权重上调 。

如需了解详情，请参阅决策森林课程中的 什么是梯度提升决策树？ 。"
边界框,"图片中感兴趣区域（例如下图中的狗）周围矩形的 ( x , y ) 坐标。"
广播,"将矩阵数学运算中某个运算数的形状扩展为与该运算兼容的 维度 。例如，线性代数要求矩阵加法运算中的两个运算数必须具有相同的维度。因此，您无法将形状为 (m, n) 的矩阵与长度为 n 的向量相加。为了使该运算有效，广播会在每列下复制相同的值，将长度为 n 的向量扩展成形状为 (m, n) 的矩阵。

如需了解详情，请参阅 《NumPy 中的广播》 这篇文章的说明。"
分桶,"将单个 特征 转换为多个二元特征（称为 桶 或 箱 ），通常根据值区间进行转换。截断的特征通常是 连续特征 。

例如，您可以将温度范围划分为离散的区间，而不是将温度表示为单个连续的浮点特征，例如：

<= 10 摄氏度为“寒冷”区间。 11-24 摄氏度为“温带”区间。 >= 25 摄氏度为“温暖”区间。

模型会将同一分桶中的每个值视为相同的值。例如，值 13 和 22 都位于温热存储分区中，因此模型会以相同的方式处理这两个值。

如需了解详情，请参阅机器学习速成课程中的 数值数据：分箱 。"
校准层,一种预测后调整，通常是为了降低 预测偏差 的影响。调整后的预测和概率应与观察到的标签集的分布一致。
候选集生成,"推荐系统 选择的初始推荐集。例如，假设某家书店有 10 万本书。在候选集生成阶段，推荐系统会针对特定用户生成一个小得多的合适书籍列表，比如 500 本。但即使向用户推荐 500 本也太多了。推荐系统的后续阶段（例如 评分 和 重排序 ）会进一步将这 500 本书列表缩小为一个小得多且更实用的推荐集。

如需了解详情，请参阅推荐系统课程中的 候选生成概览 。"
候选采样,"一种训练时进行的优化，会使用某种函数（例如 softmax ）针对所有 正 类别标签计算概率，但仅随机抽取一部分负类别标签样本并计算概率。例如，如果某个样本的标签为“小猎犬”和“狗”，则候选采样将针对以下类别计算预测概率和相应的损失项：

beagle dog 剩余负类别的随机子集（例如， 猫 、 棒棒糖 、 栅栏 ）。

这种方法的理念是，只要 正类别 始终得到适当的正增强， 负类别 就可以从不太频繁的负增强中学习，这确实符合实际观察情况。

与计算 所有 负类别的预测结果的训练算法相比，候选采样在计算方面更高效，尤其是在负类别的数量非常庞大时。"
分类数据,"具有一组特定可能值的 特征 。例如，假设有一个名为 traffic-light-state 的分类特征，该特征只能具有以下三个可能值之一：

red yellow green

通过将 traffic-light-state 表示为分类特征，模型可以了解 red 、 green 和 yellow 对驾驶员行为的不同影响。

分类特征有时称为 离散特征 。

与 数值数据 相对。

如需了解详情，请参阅机器学习速成课程中的 处理分类数据 。"
因果语言模型,"与 单向语言模型 的含义相同。

如需对比语言建模中的不同方向性方法，请参阅 双向语言模型 。"
形心,"由 k-means 或 k-median 算法确定的聚类中心。例如，如果 k 为 3，则 k-means 或 k-median 算法会找出 3 个形心。

如需了解详情，请参阅聚类课程中的 聚类算法 。"
形心聚类,"一类 聚类 算法，用于将数据整理到非分层聚类中。 k-means 是使用最广泛的形心聚类算法。

与 层次聚类 算法相对。

如需了解详情，请参阅聚类课程中的 聚类算法 。"
思维链提示,"一种 提示工程 技术，可鼓励 大语言模型 (LLM) 逐步说明其推理过程。例如，请考虑以下提示，并特别注意第二句话：

LLM 的 回答 可能如下：

显示一系列物理公式，并在适当的位置代入值 0、60 和 7。 说明为何选择这些公式以及各种变量的含义。

思维链提示会强制 LLM 执行所有计算，这可能会得出更正确的答案。此外，通过链式思维提示，用户可以检查 LLM 的步骤，以确定答案是否合理。"
字符 N-gram F 得分 (ChrF),"用于评估 机器翻译 模型的指标。
字符 N 元语法 F 分数用于确定 参考文本 中 N 元语法 与机器学习模型 生成的文本 中 N 元语法的重叠程度。

字符 N 元语法 F 得分与 ROUGE 和 BLEU 系列中的指标类似，但有以下区别：

字符 N 元语法 F 分数基于 字符 N 元语法。 ROUGE 和 BLEU 基于 字词 N 元语法或 令牌 进行操作。"
聊天,"与机器学习系统（通常是 大语言模型 ）进行来回对话的内容。
聊天中的上一次互动（您输入的内容以及大语言模型的回答）会成为聊天后续部分的上下文。

聊天机器人 是大语言模型的一种应用。"
检查点,"用于捕获模型 参数 在训练期间或训练完成后的状态的数据。例如，在训练期间，您可以：

停止训练，可能是故意停止，也可能是由于某些错误而停止。 捕获检查点。 稍后，重新加载检查点，可能是在不同的硬件上。 重新开始训练。"
类别,"标签 可归属的类别。 例如：

在检测垃圾邮件的 二元分类 模型中，这两个类别可能是 垃圾邮件 和 非垃圾邮件 。 在识别犬种的 多类别分类 模型中，类别可能是 贵宾犬 、 比格犬 、 巴哥犬 等。

分类模型 可预测类别。
相比之下， 回归模型 预测的是数字，而不是类别。

如需了解详情，请参阅机器学习速成课程中的 分类 。"
类别平衡的数据集,"包含 分类 标签 的数据集，其中每个类别的实例数量大致相等。 例如，假设有一个植物学数据集，其二元标签可以是 本地植物 或 非本地植物 ：

如果某个数据集包含 515 种 本地植物 和 485 种 非本地植物 ，则该数据集属于类别平衡的数据集。 包含 875 种 本地植物 和 125 种 非本地植物 的数据集属于 分类不平衡的数据集 。

类平衡数据集与 类不平衡数据集 之间没有明确的界限。只有当在高度类别不平衡的数据集上训练的模型无法收敛时，这种区别才会变得重要。如需了解详情，请参阅机器学习速成课程中的 数据集：不平衡的数据集 。"
分类模型,"一种预测结果为 类别 的 模型 。例如，以下都是分类模型：

一个模型，用于预测输入句子的语言（法语？西班牙语？
意大利语？）。 一个模型，用于预测树种（枫树？橡树？猴面包树？）。 用于预测特定医疗状况是阳性还是阴性的模型。

相比之下， 回归模型 预测的是数字，而不是类别。

以下是两种常见的分类模型：

二元分类 多类别分类"
分类阈值,"在 二元分类 中，一个介于 0 到 1 之间的数字，用于将 逻辑回归 模型的原始输出转换为 正类别 或 负类别 的预测结果。请注意，分类阈值是人为选择的值，而不是通过模型训练选择的值。

逻辑回归模型会输出一个介于 0 到 1 之间的原始值。然后，执行以下操作：

如果此原始值 大于 分类阈值，则预测为正类别。 如果此原始值 小于 分类阈值，则预测为负类。

例如，假设分类阈值为 0.8。如果原始值为 0.9，则模型预测为正类别。如果原始值为 0.7，则模型预测为负类别。

分类阈值的选择会严重影响 假正例 和 假负例 的数量。

如需了解详情，请参阅机器学习速成课程中的 阈值和混淆矩阵 。"
分类器,分类模型 的非正式术语。
类别不平衡的数据集,"一种用于 分类 的 数据集 ，其中每个 类 的 标签 总数差异很大。例如，假设有一个 二元分类 数据集，其两个标签的划分方式如下：

100 万个负值标签 10 个正值标签

负标签与正标签的比率为 100,000 比 1，因此这是一个分类不平衡的数据集。

相比之下，以下数据集是 类别平衡 的，因为负标签与正标签的比率相对接近 1：

517 个负值标签 483 个正值标签

多类数据集也可能存在类别不平衡的情况。例如，以下多类别分类数据集也存在类别不平衡问题，因为一个标签的示例数量远多于其他两个标签：

1,000,000 个标签，类别为“绿色” 200 个具有“紫色”类的标签 350 个带有“橙色”类别的标签

训练类别不平衡的数据集可能会带来特殊挑战。如需了解详情，请参阅机器学习速成课程中的 不平衡的数据集 。

另请参阅 熵 、 多数类 和 少数类 。"
裁剪,"一种处理 离群值 的方法，通过执行以下一项或两项操作来实现：

将大于最大阈值的 特征 值减小到该最大阈值。 将小于最小阈值的特征值增加到该最小阈值。

例如，假设某个特定特征的值中只有不到 0.5% 不在 40-60 的范围内。在这种情况下，您可以执行以下操作：

将超过 60（最大阈值）的所有值裁剪到正好 60。 将小于 40（最低阈值）的所有值裁剪到正好 40。

离群值可能会损坏模型，有时会导致训练期间 权重 溢出。某些离群值也会严重影响 准确率 等指标。剪切是一种限制损坏的常用技术。

梯度裁剪 可在训练期间强制使 梯度 值位于指定范围内。

如需了解详情，请参阅机器学习速成课程中的 数值数据：归一化 。"
Cloud TPU,一种专用硬件加速器，旨在加快 Google Cloud 上的机器学习工作负载的处理速度。
聚类,"对相关的 示例 进行分组，尤其是在 非监督式学习 期间。在所有示例均分组完毕后，相关人员便可选择性地为每个聚类赋予含义。

聚类算法有很多。例如， k-means 算法会根据样本与 形心 的接近程度对样本进行聚类，如下图所示：

之后，研究人员便可查看这些聚类并进行其他操作，例如，将聚类 1 标记为“矮型树”，将聚类 2 标记为“全尺寸树”。

再举一个例子，例如基于样本与中心点距离的聚类算法，如下所示：

如需了解详情，请参阅 聚类分析课程 。"
协同适应,一种不良行为，是指 神经元 几乎完全依赖其他特定神经元的输出（而不是依赖网络的整体行为）来预测训练数据中的模式。如果验证数据中未呈现会导致协同适应的模式，则协同适应会导致 过拟合 。 Dropout 正规化 可减少协同适应，因为 dropout 可确保神经元不会完全依赖其他特定神经元。
协同过滤,"根据许多其他用户的兴趣，对一位用户的兴趣做出 预测 。协同过滤通常用在 推荐系统 中。

如需了解详情，请参阅推荐系统课程中的 协同过滤 。"
紧凑型模型,任何旨在在计算资源有限的小型设备上运行的小型模型。例如，紧凑型模型可以在手机、平板电脑或嵌入式系统上运行。
计算,"（名词）模型或系统使用的计算资源，例如处理能力、内存和存储空间。

请参阅 加速器芯片 。"
概念漂移,"特征与标签之间的关系发生变化。
随着时间的推移，概念漂移会降低模型的质量。

在训练期间，模型会学习训练集中特征与其标签之间的关系。如果训练集中的标签是现实世界的良好代理，那么模型 应该 能够做出良好的现实世界预测。不过，由于概念漂移，模型的预测往往会随着时间的推移而退化。

例如，假设有一个 二元分类 模型，用于预测特定汽车型号是否“省油”。也就是说，这些功能可能包括：

车辆重量 发动机压缩 传输类型

而标签为以下任一值：

省油 不省油

不过，“省油型汽车”的概念一直在变化。1994 年被标记为 省油 的汽车型号在 2024 年几乎肯定会被标记为 不省油 。如果模型受到概念漂移的影响，随着时间的推移，其预测结果往往会越来越不实用。

与 非平稳性 进行比较和对比。"
condition,"条件也称为拆分或测试。

对比条件与 叶 。

另请参阅：

二元条件 非二元条件 。 axis-aligned-condition oblique-condition

如需了解详情，请参阅决策森林课程中的 条件类型 。"
